Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,El Prado,162,4,3,1,350000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,120,3,3,2,380000000
Riomar,Inmobiliaria,4,Apartamento,Paraíso,84,3,2,1,302724000
Riomar,Usado,4,Apartamento,Miramar,83,3,2,1,230000000
Riomar,Usado,4,Apartamento,Miramar,63,3,2,1,265000000
Riomar,Usado,4,Apartamento,Miramar,66,3,2,1,230000000
Riomar,Usado,4,Apartamento,Miramar,99,3,3,0,256710000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,74,2,2,1,165000000
Riomar,Usado,4,Apartamento,Miramar,65,3,2,1,244000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,73,3,2,0,160000000
Riomar,Usado,4,Apartamento,Miramar,83,3,2,1,195000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,85,3,2,1,245000000
Riomar,Usado,4,Apartamento,Paraíso,66,2,2,1,225000000
Norte-Centro Histórico,Usado,4,Casa,El Prado,204,8,2,0,500000000
Norte-Centro Histórico,Usado,4,Casa,El Recreo,114,3,2,0,380000000
Riomar,Usado,4,Apartamento,Miramar,93,3,2,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,74,3,1,0,195000000
Riomar,Usado,4,Apartamento,Paraíso,59,2,2,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,89,3,3,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,63,2,2,1,165000000
Riomar,Usado,4,Apartamento,Paraíso,58,2,2,1,225000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,97,3,2,1,275000000
Norte-Centro Histórico,Usado,4,Apartamento,El Recreo,157,3,3,1,435000000
Norte-Centro Histórico,Usado,4,Apartamento,El Recreo,85,3,2,1,240000000
Riomar,Usado,4,Casa,Paraíso,127,3,3,1,510000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,311,3,3,3,650000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,496,3,2,1,720000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,64,2,2,1,269090304
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,98,3,2,1,397441866
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,63,2,2,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,111,3,3,1,270000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,79,3,2,1,326726964
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,89,3,3,0,360000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,101,3,2,1,423033650
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,87,2,2,1,230000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,401,4,4,1,740000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,40,1,1,1,110000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,45,1,1,1,140000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,350,5,5,2,850000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,61,2,2,0,180000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,335,4,3,1,750000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,440,4,4,1,660000000
